	    106.428800       0.000000       0.000000
	      0.000000     106.428800       0.000000
	      0.000000       0.000000     106.428800
   1741 1   6.65180000e+01   5.65403000e+01   9.97770000e+00 0.0
   1742 0   6.98439000e+01   5.32144000e+01   9.97770000e+00 0.0
   1743 0   6.98439000e+01   5.65403000e+01   6.65180000e+00 0.0
   1745 0   7.31698000e+01   5.65403000e+01   9.97770000e+00 0.0
   1746 1   7.64957000e+01   5.32144000e+01   9.97770000e+00 0.0
   1786 1   2.99331000e+01   5.98662000e+01   9.97770000e+00 0.0
   1789 0   3.32590000e+01   6.31921000e+01   9.97770000e+00 0.0
   1790 1   3.65849000e+01   5.98662000e+01   9.97770000e+00 0.0
   1792 1   3.99108000e+01   5.98662000e+01   6.65180000e+00 0.0
   1793 0   3.99108000e+01   6.31921000e+01   9.97770000e+00 0.0
   1794 1   4.32367000e+01   5.98662000e+01   9.97770000e+00 0.0
   1795 1   4.32367000e+01   6.31921000e+01   6.65180000e+00 0.0
   1796 1   4.65626000e+01   5.98662000e+01   6.65180000e+00 0.0
   1797 1   4.65626000e+01   6.31921000e+01   9.97770000e+00 0.0
   1798 0   4.98885000e+01   5.98662000e+01   9.97770000e+00 0.0
   1799 0   4.98885000e+01   6.31921000e+01   6.65180000e+00 0.0
   1800 0   5.32144000e+01   5.98662000e+01   6.65180000e+00 0.0
   1801 0   5.32144000e+01   6.31921000e+01   9.97770000e+00 0.0
   1802 1   5.65403000e+01   5.98662000e+01   9.97770000e+00 0.0
   1803 1   5.65403000e+01   6.31921000e+01   6.65180000e+00 0.0
   1804 0   5.98662000e+01   5.98662000e+01   6.65180000e+00 0.0
   1805 1   5.98662000e+01   6.31921000e+01   9.97770000e+00 0.0
   1806 1   6.31921000e+01   5.98662000e+01   9.97770000e+00 0.0
   1807 1   6.31921000e+01   6.31921000e+01   6.65180000e+00 0.0
   1808 0   6.65180000e+01   5.98662000e+01   6.65180000e+00 0.0
   1809 0   6.65180000e+01   6.31921000e+01   9.97770000e+00 0.0
   1810 1   6.98439000e+01   5.98662000e+01   9.97770000e+00 0.0
   1813 1   7.31698000e+01   6.31921000e+01   9.97770000e+00 0.0
   1814 1   7.64957000e+01   5.98662000e+01   9.97770000e+00 0.0
   1858 0   3.65849000e+01   6.65180000e+01   9.97770000e+00 0.0
   1861 0   3.99108000e+01   6.98439000e+01   9.97770000e+00 0.0
   1862 0   4.32367000e+01   6.65180000e+01   9.97770000e+00 0.0
   1864 1   4.65626000e+01   6.65180000e+01   6.65180000e+00 0.0
   1865 1   4.65626000e+01   6.98439000e+01   9.97770000e+00 0.0
   1866 0   4.98885000e+01   6.65180000e+01   9.97770000e+00 0.0
   1867 1   4.98885000e+01   6.98439000e+01   6.65180000e+00 0.0
   1868 1   5.32144000e+01   6.65180000e+01   6.65180000e+00 0.0
   1869 1   5.32144000e+01   6.98439000e+01   9.97770000e+00 0.0
   1870 0   5.65403000e+01   6.65180000e+01   9.97770000e+00 0.0
   1871 1   5.65403000e+01   6.98439000e+01   6.65180000e+00 0.0
   1872 1   5.98662000e+01   6.65180000e+01   6.65180000e+00 0.0
   1873 1   5.98662000e+01   6.98439000e+01   9.97770000e+00 0.0
   1874 1   6.31921000e+01   6.65180000e+01   9.97770000e+00 0.0
   1877 0   6.65180000e+01   6.98439000e+01   9.97770000e+00 0.0
   1878 1   6.98439000e+01   6.65180000e+01   9.97770000e+00 0.0
   1930 0   4.32367000e+01   7.31698000e+01   9.97770000e+00 0.0
   1933 1   4.65626000e+01   7.64957000e+01   9.97770000e+00 0.0
   1934 0   4.98885000e+01   7.31698000e+01   9.97770000e+00 0.0
   1937 0   5.32144000e+01   7.64957000e+01   9.97770000e+00 0.0
   1938 1   5.65403000e+01   7.31698000e+01   9.97770000e+00 0.0
   1941 0   5.98662000e+01   7.64957000e+01   9.97770000e+00 0.0
   1942 1   6.31921000e+01   7.31698000e+01   9.97770000e+00 0.0
   2541 1   3.99108000e+01   2.32813000e+01   1.66295000e+01 0.0
   2545 1   4.65626000e+01   2.32813000e+01   1.66295000e+01 0.0
   2546 0   4.98885000e+01   1.99554000e+01   1.66295000e+01 0.0
   2547 0   4.98885000e+01   2.32813000e+01   1.33036000e+01 0.0
   2549 1   5.32144000e+01   2.32813000e+01   1.66295000e+01 0.0
   2550 1   5.65403000e+01   1.99554000e+01   1.66295000e+01 0.0
   2551 0   5.65403000e+01   2.32813000e+01   1.33036000e+01 0.0
   2553 1   5.98662000e+01   2.32813000e+01   1.66295000e+01 0.0
   2557 0   6.65180000e+01   2.32813000e+01   1.66295000e+01 0.0
   2605 1   3.32590000e+01   2.99331000e+01   1.66295000e+01 0.0
   2606 1   3.65849000e+01   2.66072000e+01   1.66295000e+01 0.0
   2607 1   3.65849000e+01   2.99331000e+01   1.33036000e+01 0.0
   2608 0   3.99108000e+01   2.66072000e+01   1.33036000e+01 0.0
   2609 0   3.99108000e+01   2.99331000e+01   1.66295000e+01 0.0
   2610 0   4.32367000e+01   2.66072000e+01   1.66295000e+01 0.0
   2611 0   4.32367000e+01   2.99331000e+01   1.33036000e+01 0.0
   2612 1   4.65626000e+01   2.66072000e+01   1.33036000e+01 0.0
   2613 1   4.65626000e+01   2.99331000e+01   1.66295000e+01 0.0
   2614 1   4.98885000e+01   2.66072000e+01   1.66295000e+01 0.0
   2615 1   4.98885000e+01   2.99331000e+01   1.33036000e+01 0.0
   2616 0   5.32144000e+01   2.66072000e+01   1.33036000e+01 0.0
   2617 1   5.32144000e+01   2.99331000e+01   1.66295000e+01 0.0
   2618 1   5.65403000e+01   2.66072000e+01   1.66295000e+01 0.0
   2619 0   5.65403000e+01   2.99331000e+01   1.33036000e+01 0.0
   2620 0   5.98662000e+01   2.66072000e+01   1.33036000e+01 0.0
   2621 0   5.98662000e+01   2.99331000e+01   1.66295000e+01 0.0
   2622 1   6.31921000e+01   2.66072000e+01   1.66295000e+01 0.0
   2623 0   6.31921000e+01   2.99331000e+01   1.33036000e+01 0.0
   2624 0   6.65180000e+01   2.66072000e+01   1.33036000e+01 0.0
   2625 0   6.65180000e+01   2.99331000e+01   1.66295000e+01 0.0
   2626 0   6.98439000e+01   2.66072000e+01   1.66295000e+01 0.0
   2627 0   6.98439000e+01   2.99331000e+01   1.33036000e+01 0.0
   2629 1   7.31698000e+01   2.99331000e+01   1.66295000e+01 0.0
   2669 0   2.66072000e+01   3.65849000e+01   1.66295000e+01 0.0
   2670 0   2.99331000e+01   3.32590000e+01   1.66295000e+01 0.0
   2671 1   2.99331000e+01   3.65849000e+01   1.33036000e+01 0.0
   2672 0   3.32590000e+01   3.32590000e+01   1.33036000e+01 0.0
   2673 0   3.32590000e+01   3.65849000e+01   1.66295000e+01 0.0
   2674 0   3.65849000e+01   3.32590000e+01   1.66295000e+01 0.0
   2675 0   3.65849000e+01   3.65849000e+01   1.33036000e+01 0.0
   2676 1   3.99108000e+01   3.32590000e+01   1.33036000e+01 0.0
   2677 1   3.99108000e+01   3.65849000e+01   1.66295000e+01 0.0
   2678 1   4.32367000e+01   3.32590000e+01   1.66295000e+01 0.0
   2679 1   4.32367000e+01   3.65849000e+01   1.33036000e+01 0.0
   2680 0   4.65626000e+01   3.32590000e+01   1.33036000e+01 0.0
   2681 1   4.65626000e+01   3.65849000e+01   1.66295000e+01 0.0
   2682 1   4.98885000e+01   3.32590000e+01   1.66295000e+01 0.0
   2683 0   4.98885000e+01   3.65849000e+01   1.33036000e+01 0.0
   2684 0   5.32144000e+01   3.32590000e+01   1.33036000e+01 0.0
   2685 1   5.32144000e+01   3.65849000e+01   1.66295000e+01 0.0
   2686 1   5.65403000e+01   3.32590000e+01   1.66295000e+01 0.0
   2687 0   5.65403000e+01   3.65849000e+01   1.33036000e+01 0.0
   2688 0   5.98662000e+01   3.32590000e+01   1.33036000e+01 0.0
   2689 1   5.98662000e+01   3.65849000e+01   1.66295000e+01 0.0
   2690 0   6.31921000e+01   3.32590000e+01   1.66295000e+01 0.0
   2691 0   6.31921000e+01   3.65849000e+01   1.33036000e+01 0.0
   2692 1   6.65180000e+01   3.32590000e+01   1.33036000e+01 0.0
   2693 1   6.65180000e+01   3.65849000e+01   1.66295000e+01 0.0
   2694 1   6.98439000e+01   3.32590000e+01   1.66295000e+01 0.0
   2695 0   6.98439000e+01   3.65849000e+01   1.33036000e+01 0.0
   2696 0   7.31698000e+01   3.32590000e+01   1.33036000e+01 0.0
   2697 1   7.31698000e+01   3.65849000e+01   1.66295000e+01 0.0
   2698 1   7.64957000e+01   3.32590000e+01   1.66295000e+01 0.0
   2699 0   7.64957000e+01   3.65849000e+01   1.33036000e+01 0.0
   2701 1   7.98216000e+01   3.65849000e+01   1.66295000e+01 0.0
   2734 0   2.32813000e+01   3.99108000e+01   1.66295000e+01 0.0
   2736 0   2.66072000e+01   3.99108000e+01   1.33036000e+01 0.0
   2737 0   2.66072000e+01   4.32367000e+01   1.66295000e+01 0.0
   2738 1   2.99331000e+01   3.99108000e+01   1.66295000e+01 0.0
   2739 1   2.99331000e+01   4.32367000e+01   1.33036000e+01 0.0
   2740 0   3.32590000e+01   3.99108000e+01   1.33036000e+01 0.0
   2741 0   3.32590000e+01   4.32367000e+01   1.66295000e+01 0.0
   2742 1   3.65849000e+01   3.99108000e+01   1.66295000e+01 0.0
   2743 0   3.65849000e+01   4.32367000e+01   1.33036000e+01 0.0
   2744 1   3.99108000e+01   3.99108000e+01   1.33036000e+01 0.0
   2745 1   3.99108000e+01   4.32367000e+01   1.66295000e+01 0.0
   2746 0   4.32367000e+01   3.99108000e+01   1.66295000e+01 0.0
   2747 0   4.32367000e+01   4.32367000e+01   1.33036000e+01 0.0
   2748 0   4.65626000e+01   3.99108000e+01   1.33036000e+01 0.0
   2749 0   4.65626000e+01   4.32367000e+01   1.66295000e+01 0.0
   2750 0   4.98885000e+01   3.99108000e+01   1.66295000e+01 0.0
   2751 0   4.98885000e+01   4.32367000e+01   1.33036000e+01 0.0
   2752 1   5.32144000e+01   3.99108000e+01   1.33036000e+01 0.0
   2753 1   5.32144000e+01   4.32367000e+01   1.66295000e+01 0.0
   2754 1   5.65403000e+01   3.99108000e+01   1.66295000e+01 0.0
   2755 1   5.65403000e+01   4.32367000e+01   1.33036000e+01 0.0
   2756 0   5.98662000e+01   3.99108000e+01   1.33036000e+01 0.0
   2757 0   5.98662000e+01   4.32367000e+01   1.66295000e+01 0.0
   2758 1   6.31921000e+01   3.99108000e+01   1.66295000e+01 0.0
   2759 0   6.31921000e+01   4.32367000e+01   1.33036000e+01 0.0
   2760 1   6.65180000e+01   3.99108000e+01   1.33036000e+01 0.0
   2761 0   6.65180000e+01   4.32367000e+01   1.66295000e+01 0.0
   2762 0   6.98439000e+01   3.99108000e+01   1.66295000e+01 0.0
   2763 0   6.98439000e+01   4.32367000e+01   1.33036000e+01 0.0
   2764 1   7.31698000e+01   3.99108000e+01   1.33036000e+01 0.0
   2765 0   7.31698000e+01   4.32367000e+01   1.66295000e+01 0.0
   2766 1   7.64957000e+01   3.99108000e+01   1.66295000e+01 0.0
   2767 0   7.64957000e+01   4.32367000e+01   1.33036000e+01 0.0
   2768 0   7.98216000e+01   3.99108000e+01   1.33036000e+01 0.0
   2769 0   7.98216000e+01   4.32367000e+01   1.66295000e+01 0.0
   2770 1   8.31475000e+01   3.99108000e+01   1.66295000e+01 0.0
   2801 0   1.99554000e+01   4.98885000e+01   1.66295000e+01 0.0
   2802 0   2.32813000e+01   4.65626000e+01   1.66295000e+01 0.0
   2803 1   2.32813000e+01   4.98885000e+01   1.33036000e+01 0.0
   2804 0   2.66072000e+01   4.65626000e+01   1.33036000e+01 0.0
   2805 1   2.66072000e+01   4.98885000e+01   1.66295000e+01 0.0
   2806 0   2.99331000e+01   4.65626000e+01   1.66295000e+01 0.0
   2807 1   2.99331000e+01   4.98885000e+01   1.33036000e+01 0.0
   2808 0   3.32590000e+01   4.65626000e+01   1.33036000e+01 0.0
   2809 0   3.32590000e+01   4.98885000e+01   1.66295000e+01 0.0
   2810 1   3.65849000e+01   4.65626000e+01   1.66295000e+01 0.0
   2811 1   3.65849000e+01   4.98885000e+01   1.33036000e+01 0.0
   2812 1   3.99108000e+01   4.65626000e+01   1.33036000e+01 0.0
   2813 1   3.99108000e+01   4.98885000e+01   1.66295000e+01 0.0
   2814 0   4.32367000e+01   4.65626000e+01   1.66295000e+01 0.0
   2815 0   4.32367000e+01   4.98885000e+01   1.33036000e+01 0.0
   2816 0   4.65626000e+01   4.65626000e+01   1.33036000e+01 0.0
   2817 0   4.65626000e+01   4.98885000e+01   1.66295000e+01 0.0
   2818 1   4.98885000e+01   4.65626000e+01   1.66295000e+01 0.0
   2819 1   4.98885000e+01   4.98885000e+01   1.33036000e+01 0.0
   2820 0   5.32144000e+01   4.65626000e+01   1.33036000e+01 0.0
   2821 0   5.32144000e+01   4.98885000e+01   1.66295000e+01 0.0
   2822 0   5.65403000e+01   4.65626000e+01   1.66295000e+01 0.0
   2823 1   5.65403000e+01   4.98885000e+01   1.33036000e+01 0.0
   2824 0   5.98662000e+01   4.65626000e+01   1.33036000e+01 0.0
   2825 1   5.98662000e+01   4.98885000e+01   1.66295000e+01 0.0
   2826 0   6.31921000e+01   4.65626000e+01   1.66295000e+01 0.0
   2827 0   6.31921000e+01   4.98885000e+01   1.33036000e+01 0.0
   2828 1   6.65180000e+01   4.65626000e+01   1.33036000e+01 0.0
   2829 1   6.65180000e+01   4.98885000e+01   1.66295000e+01 0.0
   2830 1   6.98439000e+01   4.65626000e+01   1.66295000e+01 0.0
   2831 0   6.98439000e+01   4.98885000e+01   1.33036000e+01 0.0
   2832 1   7.31698000e+01   4.65626000e+01   1.33036000e+01 0.0
   2833 1   7.31698000e+01   4.98885000e+01   1.66295000e+01 0.0
   2834 0   7.64957000e+01   4.65626000e+01   1.66295000e+01 0.0
   2835 0   7.64957000e+01   4.98885000e+01   1.33036000e+01 0.0
   2836 1   7.98216000e+01   4.65626000e+01   1.33036000e+01 0.0
   2837 0   7.98216000e+01   4.98885000e+01   1.66295000e+01 0.0
   2838 1   8.31475000e+01   4.65626000e+01   1.66295000e+01 0.0
   2839 1   8.31475000e+01   4.98885000e+01   1.33036000e+01 0.0
   2841 1   8.64734000e+01   4.98885000e+01   1.66295000e+01 0.0
   2869 0   1.99554000e+01   5.65403000e+01   1.66295000e+01 0.0
   2870 0   2.32813000e+01   5.32144000e+01   1.66295000e+01 0.0
   2871 1   2.32813000e+01   5.65403000e+01   1.33036000e+01 0.0
   2872 1   2.66072000e+01   5.32144000e+01   1.33036000e+01 0.0
   2873 1   2.66072000e+01   5.65403000e+01   1.66295000e+01 0.0
   2874 1   2.99331000e+01   5.32144000e+01   1.66295000e+01 0.0
   2875 0   2.99331000e+01   5.65403000e+01   1.33036000e+01 0.0
   2876 1   3.32590000e+01   5.32144000e+01   1.33036000e+01 0.0
   2877 1   3.32590000e+01   5.65403000e+01   1.66295000e+01 0.0
   2878 0   3.65849000e+01   5.32144000e+01   1.66295000e+01 0.0
   2879 1   3.65849000e+01   5.65403000e+01   1.33036000e+01 0.0
   2880 1   3.99108000e+01   5.32144000e+01   1.33036000e+01 0.0
   2881 1   3.99108000e+01   5.65403000e+01   1.66295000e+01 0.0
